state,category,characteristics,noconf
IA,Hispanic origin and Race,"White alone, not Hispanic","22,208"
IA,Hispanic origin and Race,"Black alone, not Hispanic","3,360"
IA,Hispanic origin and Race,"Asian alone, not Hispanic",-
IA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
IA,Education,Less than high school,"1,844"
IA,Education,High school or GED,"9,686"
IA,Education,Some college/associateês degree,"12,307"
IA,Education,Bachelorês degree or higher,"1,731"
IA,Marital status,Married,"4,737"
IA,Marital status,Widowed,"2,533"
IA,Marital status,Divorced/separated,"9,083"
IA,Marital status,Never married,"9,216"
IA,Marital status,Did not report,-
IA,Presence of children under 18 years old,Children in household,"14,423"
IA,Presence of children under 18 years old,No children,"11,146"
IA,Respondent or household member experienced loss of employment income,Yes,"19,240"
IA,Respondent or household member experienced loss of employment income,No,"6,329"
IA,Respondent or household member experienced loss of employment income,Did not report,-
IA,Respondent currently employed,Yes,"19,234"
IA,Respondent currently employed,No,"6,334"
IA,Respondent currently employed,Did not report,-
IA,Household income,"Less than $25,000","10,033"
IA,Household income,"$25,000 - $34,999","7,092"
IA,Household income,"$35,000 - $49,999","8,074"
IA,Household income,"$50,000 - $74,999",369
IA,Household income,"$75,000 - $99,999",-
IA,Household income,"$100,000 - $149,999",-
IA,Household income,"$150,000 - $199,999",-
IA,Household income,"$200,000 and above",-
IA,Household income,Did not report,-
KS,Total,Total,"66,707"
KS,Age,18 - 24,-
KS,Age,25 - 39,"25,038"
KS,Age,40 - 54,"34,590"
KS,Age,55 - 64,"5,851"
KS,Age,65 and above,"1,227"
KS,Sex,Male,"31,363"
KS,Sex,Female,"35,344"
KS,Hispanic origin and Race,Hispanic or Latino (may be of any race),"32,696"
KS,Hispanic origin and Race,"White alone, not Hispanic","25,493"
KS,Hispanic origin and Race,"Black alone, not Hispanic","4,559"
KS,Hispanic origin and Race,"Asian alone, not Hispanic",-
KS,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","3,958"
KS,Education,Less than high school,"21,950"
KS,Education,High school or GED,"18,499"
KS,Education,Some college/associateês degree,"21,469"
KS,Education,Bachelorês degree or higher,"4,789"
KS,Marital status,Married,"13,703"
KS,Marital status,Widowed,-
KS,Marital status,Divorced/separated,"40,060"
KS,Marital status,Never married,"12,943"
KS,Marital status,Did not report,-
KS,Presence of children under 18 years old,Children in household,"55,535"
KS,Presence of children under 18 years old,No children,"11,172"
KS,Respondent or household member experienced loss of employment income,Yes,"42,971"
KS,Respondent or household member experienced loss of employment income,No,"23,736"
KS,Respondent or household member experienced loss of employment income,Did not report,-
KS,Respondent currently employed,Yes,"40,961"
KS,Respondent currently employed,No,"22,066"
KS,Respondent currently employed,Did not report,"3,680"
KS,Household income,"Less than $25,000","26,699"
KS,Household income,"$25,000 - $34,999","28,973"
KS,Household income,"$35,000 - $49,999","6,296"
KS,Household income,"$50,000 - $74,999","4,738"
KS,Household income,"$75,000 - $99,999",-
KS,Household income,"$100,000 - $149,999",-
KS,Household income,"$150,000 - $199,999",-
KS,Household income,"$200,000 and above",-
KS,Household income,Did not report,-
KY,Total,Total,"114,165"
KY,Age,18 - 24,-
KY,Age,25 - 39,"44,203"
KY,Age,40 - 54,"61,505"
KY,Age,55 - 64,"5,277"
KY,Age,65 and above,"3,181"
KY,Sex,Male,"57,420"
KY,Sex,Female,"56,745"
KY,Hispanic origin and Race,Hispanic or Latino (may be of any race),"7,686"
KY,Hispanic origin and Race,"White alone, not Hispanic","49,724"
KY,Hispanic origin and Race,"Black alone, not Hispanic","50,188"
KY,Hispanic origin and Race,"Asian alone, not Hispanic","3,843"
KY,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","2,724"
KY,Education,Less than high school,"20,149"
KY,Education,High school or GED,"61,401"
KY,Education,Some college/associateês degree,"24,858"
KY,Education,Bachelorês degree or higher,"7,757"
KY,Marital status,Married,"49,730"
KY,Marital status,Widowed,"3,368"
KY,Marital status,Divorced/separated,"31,420"
KY,Marital status,Never married,"29,648"
KY,Marital status,Did not report,-
KY,Presence of children under 18 years old,Children in household,"88,285"
KY,Presence of children under 18 years old,No children,"25,880"
KY,Respondent or household member experienced loss of employment income,Yes,"100,290"
KY,Respondent or household member experienced loss of employment income,No,"13,875"
KY,Respondent or household member experienced loss of employment income,Did not report,-
KY,Respondent currently employed,Yes,"16,610"
KY,Respondent currently employed,No,"97,555"
KY,Respondent currently employed,Did not report,-
KY,Household income,"Less than $25,000","79,316"
KY,Household income,"$25,000 - $34,999","4,520"
KY,Household income,"$35,000 - $49,999","13,996"
KY,Household income,"$50,000 - $74,999","5,077"
KY,Household income,"$75,000 - $99,999","4,291"
KY,Household income,"$100,000 - $149,999",-
KY,Household income,"$150,000 - $199,999",-
KY,Household income,"$200,000 and above",-
KY,Household income,Did not report,"6,965"
LA,Total,Total,"152,117"
LA,Age,18 - 24,"6,220"
LA,Age,25 - 39,"76,294"
LA,Age,40 - 54,"33,366"
LA,Age,55 - 64,"27,668"
LA,Age,65 and above,"8,569"
LA,Sex,Male,"87,151"
LA,Sex,Female,"64,967"
LA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"5,671"
LA,Hispanic origin and Race,"White alone, not Hispanic","64,132"
LA,Hispanic origin and Race,"Black alone, not Hispanic","68,585"
LA,Hispanic origin and Race,"Asian alone, not Hispanic","9,444"
LA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","4,285"
LA,Education,Less than high school,"21,818"
LA,Education,High school or GED,"62,843"
LA,Education,Some college/associateês degree,"52,708"
LA,Education,Bachelorês degree or higher,"14,748"
LA,Marital status,Married,"56,490"
LA,Marital status,Widowed,-
LA,Marital status,Divorced/separated,"58,239"
LA,Marital status,Never married,"37,388"
LA,Marital status,Did not report,-
LA,Presence of children under 18 years old,Children in household,"88,693"
LA,Presence of children under 18 years old,No children,"63,424"
LA,Respondent or household member experienced loss of employment income,Yes,"112,197"
LA,Respondent or household member experienced loss of employment income,No,"39,921"
LA,Respondent or household member experienced loss of employment income,Did not report,-
LA,Respondent currently employed,Yes,"34,520"
LA,Respondent currently employed,No,"117,598"
LA,Respondent currently employed,Did not report,-
LA,Household income,"Less than $25,000","54,724"
LA,Household income,"$25,000 - $34,999","52,885"
LA,Household income,"$35,000 - $49,999","12,312"
LA,Household income,"$50,000 - $74,999","16,397"
LA,Household income,"$75,000 - $99,999","2,289"
LA,Household income,"$100,000 - $149,999","5,874"
LA,Household income,"$150,000 - $199,999",-
LA,Household income,"$200,000 and above",-
LA,Household income,Did not report,"7,637"
ME,Total,Total,"6,531"
ME,Age,18 - 24,-
ME,Age,25 - 39,"2,681"
ME,Age,40 - 54,"3,086"
ME,Age,55 - 64,-
ME,Age,65 and above,764
ME,Sex,Male,"2,330"
ME,Sex,Female,"4,201"
ME,Hispanic origin and Race,Hispanic or Latino (may be of any race),-
ME,Hispanic origin and Race,"White alone, not Hispanic","6,531"
ME,Hispanic origin and Race,"Black alone, not Hispanic",-
ME,Hispanic origin and Race,"Asian alone, not Hispanic",-
ME,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
ME,Education,Less than high school,-
ME,Education,High school or GED,389
ME,Education,Some college/associateês degree,"5,821"
ME,Education,Bachelorês degree or higher,322
ME,Marital status,Married,"2,033"
ME,Marital status,Widowed,-
ME,Marital status,Divorced/separated,"2,461"
ME,Marital status,Never married,"2,037"
ME,Marital status,Did not report,-
ME,Presence of children under 18 years old,Children in household,"4,707"
ME,Presence of children under 18 years old,No children,"1,824"
ME,Respondent or household member experienced loss of employment income,Yes,"4,792"
ME,Respondent or household member experienced loss of employment income,No,"1,739"
ME,Respondent or household member experienced loss of employment income,Did not report,-
ME,Respondent currently employed,Yes,"1,529"
ME,Respondent currently employed,No,"5,001"
ME,Respondent currently employed,Did not report,-
ME,Household income,"Less than $25,000","4,227"
ME,Household income,"$25,000 - $34,999","1,344"
ME,Household income,"$35,000 - $49,999",-
ME,Household income,"$50,000 - $74,999",195
ME,Household income,"$75,000 - $99,999",764
ME,Household income,"$100,000 - $149,999",-
ME,Household income,"$150,000 - $199,999",-
ME,Household income,"$200,000 and above",-
ME,Household income,Did not report,-
MD,Total,Total,"236,108"
MD,Age,18 - 24,137
MD,Age,25 - 39,"115,581"
MD,Age,40 - 54,"66,107"
MD,Age,55 - 64,"54,284"
MD,Age,65 and above,-
MD,Sex,Male,"135,215"
MD,Sex,Female,"100,893"
MD,Hispanic origin and Race,Hispanic or Latino (may be of any race),"27,045"
MD,Hispanic origin and Race,"White alone, not Hispanic","40,664"
MD,Hispanic origin and Race,"Black alone, not Hispanic","148,841"
MD,Hispanic origin and Race,"Asian alone, not Hispanic","1,167"
MD,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","18,390"
MD,Education,Less than high school,"25,491"
MD,Education,High school or GED,"127,264"
MD,Education,Some college/associateês degree,"66,576"
MD,Education,Bachelorês degree or higher,"16,778"
MD,Marital status,Married,"59,139"
MD,Marital status,Widowed,"2,167"
MD,Marital status,Divorced/separated,"43,922"
MD,Marital status,Never married,"130,723"
MD,Marital status,Did not report,157
MD,Presence of children under 18 years old,Children in household,"129,582"
MD,Presence of children under 18 years old,No children,"106,526"
MD,Respondent or household member experienced loss of employment income,Yes,"196,677"
MD,Respondent or household member experienced loss of employment income,No,"39,432"
MD,Respondent or household member experienced loss of employment income,Did not report,-
MD,Respondent currently employed,Yes,"68,903"
MD,Respondent currently employed,No,"167,205"
MD,Respondent currently employed,Did not report,-
MD,Household income,"Less than $25,000","97,331"
MD,Household income,"$25,000 - $34,999","63,839"
MD,Household income,"$35,000 - $49,999","33,920"
MD,Household income,"$50,000 - $74,999","29,825"
MD,Household income,"$75,000 - $99,999","3,466"
MD,Household income,"$100,000 - $149,999","6,226"
MD,Household income,"$150,000 - $199,999",-
MD,Household income,"$200,000 and above",-
MD,Household income,Did not report,"1,502"
MA,Total,Total,"128,615"
MA,Age,18 - 24,-
MA,Age,25 - 39,"72,612"
MA,Age,40 - 54,"48,616"
MA,Age,55 - 64,"4,749"
MA,Age,65 and above,"2,637"
MA,Sex,Male,"78,436"
MA,Sex,Female,"50,179"
MA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"51,344"
MA,Hispanic origin and Race,"White alone, not Hispanic","54,842"
MA,Hispanic origin and Race,"Black alone, not Hispanic","18,109"
MA,Hispanic origin and Race,"Asian alone, not Hispanic","2,136"
MA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","2,184"
MA,Education,Less than high school,"41,114"
MA,Education,High school or GED,"28,738"
MA,Education,Some college/associateês degree,"51,040"
MA,Education,Bachelorês degree or higher,"7,722"
MA,Marital status,Married,"37,784"
MA,Marital status,Widowed,"1,046"
MA,Marital status,Divorced/separated,"48,662"
MA,Marital status,Never married,"41,123"
MA,Marital status,Did not report,-
MA,Presence of children under 18 years old,Children in household,"55,638"
MA,Presence of children under 18 years old,No children,"72,977"
MA,Respondent or household member experienced loss of employment income,Yes,"116,892"
MA,Respondent or household member experienced loss of employment income,No,"11,723"
MA,Respondent or household member experienced loss of employment income,Did not report,-
MA,Respondent currently employed,Yes,"21,337"
MA,Respondent currently employed,No,"107,278"
MA,Respondent currently employed,Did not report,-
MA,Household income,"Less than $25,000","52,263"
MA,Household income,"$25,000 - $34,999","19,481"
MA,Household income,"$35,000 - $49,999","5,962"
MA,Household income,"$50,000 - $74,999","45,848"
MA,Household income,"$75,000 - $99,999","2,136"
MA,Household income,"$100,000 - $149,999",-
MA,Household income,"$150,000 - $199,999","1,106"
MA,Household income,"$200,000 and above",-
MA,Household income,Did not report,"1,819"
MI,Total,Total,"210,390"
MI,Age,18 - 24,"32,653"
MI,Age,25 - 39,"106,236"
MI,Age,40 - 54,"33,325"
MI,Age,55 - 64,"23,152"
MI,Age,65 and above,"15,023"
MI,Sex,Male,"61,004"
MI,Sex,Female,"149,386"
MI,Hispanic origin and Race,Hispanic or Latino (may be of any race),"11,143"
MI,Hispanic origin and Race,"White alone, not Hispanic","97,862"
MI,Hispanic origin and Race,"Black alone, not Hispanic","86,455"
MI,Hispanic origin and Race,"Asian alone, not Hispanic","1,129"
MI,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","13,801"
MI,Education,Less than high school,"12,472"
MI,Education,High school or GED,"83,631"
MI,Education,Some college/associateês degree,"87,649"
MI,Education,Bachelorês degree or higher,"26,638"
MI,Marital status,Married,"49,105"
MI,Marital status,Widowed,"4,194"
MI,Marital status,Divorced/separated,"30,133"
MI,Marital status,Never married,"126,958"
MI,Marital status,Did not report,-
MI,Presence of children under 18 years old,Children in household,"94,475"
MI,Presence of children under 18 years old,No children,"115,915"
MI,Respondent or household member experienced loss of employment income,Yes,"192,449"
MI,Respondent or household member experienced loss of employment income,No,"17,941"
MI,Respondent or household member experienced loss of employment income,Did not report,-
MI,Respondent currently employed,Yes,"17,466"
MI,Respondent currently employed,No,"192,924"
MI,Respondent currently employed,Did not report,-
MI,Household income,"Less than $25,000","112,460"
MI,Household income,"$25,000 - $34,999","50,464"
MI,Household income,"$35,000 - $49,999","40,389"
MI,Household income,"$50,000 - $74,999","3,534"
MI,Household income,"$75,000 - $99,999","3,543"
MI,Household income,"$100,000 - $149,999",-
MI,Household income,"$150,000 - $199,999",-
MI,Household income,"$200,000 and above",-
MI,Household income,Did not report,-
MN,Total,Total,"84,791"
MN,Age,18 - 24,-
MN,Age,25 - 39,"51,919"
MN,Age,40 - 54,"18,989"
MN,Age,55 - 64,"7,417"
MN,Age,65 and above,"6,466"
MN,Sex,Male,"33,886"
MN,Sex,Female,"50,905"
MN,Hispanic origin and Race,Hispanic or Latino (may be of any race),-
MN,Hispanic origin and Race,"White alone, not Hispanic","34,439"
MN,Hispanic origin and Race,"Black alone, not Hispanic","49,293"
MN,Hispanic origin and Race,"Asian alone, not Hispanic",-
MN,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","1,059"
MN,Education,Less than high school,-
MN,Education,High school or GED,"31,325"
MN,Education,Some college/associateês degree,"39,622"
MN,Education,Bachelorês degree or higher,"13,844"
MN,Marital status,Married,"5,292"
MN,Marital status,Widowed,"1,538"
MN,Marital status,Divorced/separated,"22,450"
MN,Marital status,Never married,"55,512"
MN,Marital status,Did not report,-
MN,Presence of children under 18 years old,Children in household,"39,214"
MN,Presence of children under 18 years old,No children,"45,577"
MN,Respondent or household member experienced loss of employment income,Yes,"57,965"
MN,Respondent or household member experienced loss of employment income,No,"26,826"
MN,Respondent or household member experienced loss of employment income,Did not report,-
MN,Respondent currently employed,Yes,"34,862"
MN,Respondent currently employed,No,"49,929"
MN,Respondent currently employed,Did not report,-
MN,Household income,"Less than $25,000","30,090"
MN,Household income,"$25,000 - $34,999","27,899"
MN,Household income,"$35,000 - $49,999","7,504"
MN,Household income,"$50,000 - $74,999","8,455"
MN,Household income,"$75,000 - $99,999",-
MN,Household income,"$100,000 - $149,999","4,546"
MN,Household income,"$150,000 - $199,999",-
MN,Household income,"$200,000 and above",-
MN,Household income,Did not report,"6,297"
MS,Total,Total,"103,855"
MS,Age,18 - 24,-
MS,Age,25 - 39,"38,974"
MS,Age,40 - 54,"38,933"
MS,Age,55 - 64,"25,949"
MS,Age,65 and above,-
MS,Sex,Male,"49,871"
MS,Sex,Female,"53,984"
MS,Hispanic origin and Race,Hispanic or Latino (may be of any race),"2,262"
MS,Hispanic origin and Race,"White alone, not Hispanic","30,807"
MS,Hispanic origin and Race,"Black alone, not Hispanic","70,047"
MS,Hispanic origin and Race,"Asian alone, not Hispanic",-
MS,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",739
MS,Education,Less than high school,"25,319"
MS,Education,High school or GED,"44,716"
MS,Education,Some college/associateês degree,"24,067"
MS,Education,Bachelorês degree or higher,"9,753"
MS,Marital status,Married,"33,118"
MS,Marital status,Widowed,629
MS,Marital status,Divorced/separated,"37,049"
MS,Marital status,Never married,"33,059"
MS,Marital status,Did not report,-
MS,Presence of children under 18 years old,Children in household,"83,892"
MS,Presence of children under 18 years old,No children,"19,963"
MS,Respondent or household member experienced loss of employment income,Yes,"79,644"
MS,Respondent or household member experienced loss of employment income,No,"24,211"
MS,Respondent or household member experienced loss of employment income,Did not report,-
MS,Respondent currently employed,Yes,"47,339"
MS,Respondent currently employed,No,"56,516"
MS,Respondent currently employed,Did not report,-
MS,Household income,"Less than $25,000","57,449"
MS,Household income,"$25,000 - $34,999","3,583"
MS,Household income,"$35,000 - $49,999","9,838"
MS,Household income,"$50,000 - $74,999","29,372"
MS,Household income,"$75,000 - $99,999","1,848"
MS,Household income,"$100,000 - $149,999",-
MS,Household income,"$150,000 - $199,999",-
MS,Household income,"$200,000 and above",-
MS,Household income,Did not report,"1,765"
MO,Total,Total,"169,293"
MO,Age,18 - 24,"38,045"
MO,Age,25 - 39,"57,988"
MO,Age,40 - 54,"68,327"
MO,Age,55 - 64,-
MO,Age,65 and above,"4,933"
MO,Sex,Male,"62,255"
MO,Sex,Female,"107,038"
MO,Hispanic origin and Race,Hispanic or Latino (may be of any race),"14,274"
MO,Hispanic origin and Race,"White alone, not Hispanic","93,787"
MO,Hispanic origin and Race,"Black alone, not Hispanic","58,754"
MO,Hispanic origin and Race,"Asian alone, not Hispanic",-
MO,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","2,478"
MO,Education,Less than high school,"7,075"
MO,Education,High school or GED,"55,222"
MO,Education,Some college/associateês degree,"101,098"
MO,Education,Bachelorês degree or higher,"5,899"
MO,Marital status,Married,"24,625"
MO,Marital status,Widowed,-
MO,Marital status,Divorced/separated,"43,125"
MO,Marital status,Never married,"101,544"
MO,Marital status,Did not report,-
MO,Presence of children under 18 years old,Children in household,"53,280"
MO,Presence of children under 18 years old,No children,"116,014"
MO,Respondent or household member experienced loss of employment income,Yes,"154,727"
MO,Respondent or household member experienced loss of employment income,No,"14,567"
MO,Respondent or household member experienced loss of employment income,Did not report,-
MO,Respondent currently employed,Yes,"60,658"
MO,Respondent currently employed,No,"108,635"
MO,Respondent currently employed,Did not report,-
MO,Household income,"Less than $25,000","64,526"
MO,Household income,"$25,000 - $34,999","13,819"
MO,Household income,"$35,000 - $49,999","90,949"
MO,Household income,"$50,000 - $74,999",-
MO,Household income,"$75,000 - $99,999",-
MO,Household income,"$100,000 - $149,999",-
MO,Household income,"$150,000 - $199,999",-
MO,Household income,"$200,000 and above",-
MO,Household income,Did not report,-
MT,Total,Total,"15,143"
MT,Age,18 - 24,"3,598"
MT,Age,25 - 39,"9,002"
MT,Age,40 - 54,"1,555"
MT,Age,55 - 64,363
MT,Age,65 and above,624
MT,Sex,Male,"6,984"
MT,Sex,Female,"8,158"
MT,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,871"
MT,Hispanic origin and Race,"White alone, not Hispanic","9,474"
MT,Hispanic origin and Race,"Black alone, not Hispanic",718
MT,Hispanic origin and Race,"Asian alone, not Hispanic",-
MT,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","3,079"
MT,Education,Less than high school,-
MT,Education,High school or GED,"8,941"
MT,Education,Some college/associateês degree,"5,364"
MT,Education,Bachelorês degree or higher,838
MT,Marital status,Married,"4,016"
MT,Marital status,Widowed,-
MT,Marital status,Divorced/separated,"3,833"
MT,Marital status,Never married,"7,293"
MT,Marital status,Did not report,-
MT,Presence of children under 18 years old,Children in household,"8,588"
MT,Presence of children under 18 years old,No children,"6,554"
MT,Respondent or household member experienced loss of employment income,Yes,"12,498"
MT,Respondent or household member experienced loss of employment income,No,"2,645"
MT,Respondent or household member experienced loss of employment income,Did not report,-
MT,Respondent currently employed,Yes,"6,271"
MT,Respondent currently employed,No,"8,872"
MT,Respondent currently employed,Did not report,-
MT,Household income,"Less than $25,000","8,953"
MT,Household income,"$25,000 - $34,999","4,657"
MT,Household income,"$35,000 - $49,999","1,372"
MT,Household income,"$50,000 - $74,999",160
MT,Household income,"$75,000 - $99,999",-
MT,Household income,"$100,000 - $149,999",-
MT,Household income,"$150,000 - $199,999",-
MT,Household income,"$200,000 and above",-
MT,Household income,Did not report,-
NE,Total,Total,"27,771"
NE,Age,18 - 24,"2,740"
NE,Age,25 - 39,"14,987"
NE,Age,40 - 54,"8,509"
NE,Age,55 - 64,"1,535"
NE,Age,65 and above,-
NE,Sex,Male,"7,389"
NE,Sex,Female,"20,383"
NE,Hispanic origin and Race,Hispanic or Latino (may be of any race),"5,547"
NE,Hispanic origin and Race,"White alone, not Hispanic","15,116"
NE,Hispanic origin and Race,"Black alone, not Hispanic","4,820"
NE,Hispanic origin and Race,"Asian alone, not Hispanic",-
NE,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","2,289"
NE,Education,Less than high school,"2,251"
NE,Education,High school or GED,"10,978"
NE,Education,Some college/associateês degree,"13,620"
NE,Education,Bachelorês degree or higher,923
NE,Marital status,Married,"5,637"
NE,Marital status,Widowed,-
NE,Marital status,Divorced/separated,"4,087"
NE,Marital status,Never married,"18,047"
NE,Marital status,Did not report,-
NE,Presence of children under 18 years old,Children in household,"18,162"
NE,Presence of children under 18 years old,No children,"9,609"
NE,Respondent or household member experienced loss of employment income,Yes,"15,175"
NE,Respondent or household member experienced loss of employment income,No,"12,596"
NE,Respondent or household member experienced loss of employment income,Did not report,-
NE,Respondent currently employed,Yes,"12,646"
NE,Respondent currently employed,No,"15,125"
NE,Respondent currently employed,Did not report,-
NE,Household income,"Less than $25,000","8,855"
NE,Household income,"$25,000 - $34,999","10,911"
NE,Household income,"$35,000 - $49,999","1,947"
NE,Household income,"$50,000 - $74,999","3,167"
NE,Household income,"$75,000 - $99,999","2,891"
NE,Household income,"$100,000 - $149,999",-
NE,Household income,"$150,000 - $199,999",-
NE,Household income,"$200,000 and above",-
NE,Household income,Did not report,-
NV,Total,Total,"84,315"
NV,Age,18 - 24,"7,103"
NV,Age,25 - 39,"46,845"
NV,Age,40 - 54,"24,783"
NV,Age,55 - 64,"3,307"
NV,Age,65 and above,"2,277"
NV,Sex,Male,"28,011"
NV,Sex,Female,"56,304"
NV,Hispanic origin and Race,Hispanic or Latino (may be of any race),"41,604"
NV,Hispanic origin and Race,"White alone, not Hispanic","20,665"
NV,Hispanic origin and Race,"Black alone, not Hispanic","4,897"
NV,Hispanic origin and Race,"Asian alone, not Hispanic","8,821"
NV,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","8,328"
NV,Education,Less than high school,"16,335"
NV,Education,High school or GED,"24,998"
NV,Education,Some college/associateês degree,"32,507"
NV,Education,Bachelorês degree or higher,"10,475"
NV,Marital status,Married,"34,670"
NV,Marital status,Widowed,752
NV,Marital status,Divorced/separated,"26,798"
NV,Marital status,Never married,"22,095"
NV,Marital status,Did not report,-
NV,Presence of children under 18 years old,Children in household,"50,971"
NV,Presence of children under 18 years old,No children,"33,344"
NV,Respondent or household member experienced loss of employment income,Yes,"68,276"
NV,Respondent or household member experienced loss of employment income,No,"16,039"
NV,Respondent or household member experienced loss of employment income,Did not report,-
NV,Respondent currently employed,Yes,"27,403"
NV,Respondent currently employed,No,"56,912"
NV,Respondent currently employed,Did not report,-
NV,Household income,"Less than $25,000","28,540"
NV,Household income,"$25,000 - $34,999","12,950"
NV,Household income,"$35,000 - $49,999","20,396"
NV,Household income,"$50,000 - $74,999","12,742"
NV,Household income,"$75,000 - $99,999","1,980"
NV,Household income,"$100,000 - $149,999","7,707"
NV,Household income,"$150,000 - $199,999",-
NV,Household income,"$200,000 and above",-
NV,Household income,Did not report,-
NH,Total,Total,"14,729"
NH,Age,18 - 24,-
NH,Age,25 - 39,"11,026"
NH,Age,40 - 54,"3,049"
NH,Age,55 - 64,520
NH,Age,65 and above,135
NH,Sex,Male,"2,968"
NH,Sex,Female,"11,761"
NH,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,771"
NH,Hispanic origin and Race,"White alone, not Hispanic","12,341"
NH,Hispanic origin and Race,"Black alone, not Hispanic",-
NH,Hispanic origin and Race,"Asian alone, not Hispanic",-
NH,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",617
NH,Education,Less than high school,-
NH,Education,High school or GED,"3,378"
NH,Education,Some college/associateês degree,"10,020"
NH,Education,Bachelorês degree or higher,"1,331"
NH,Marital status,Married,"4,490"
NH,Marital status,Widowed,135
NH,Marital status,Divorced/separated,"5,131"
NH,Marital status,Never married,"4,974"
NH,Marital status,Did not report,-
NH,Presence of children under 18 years old,Children in household,"5,924"
NH,Presence of children under 18 years old,No children,"8,806"
NH,Respondent or household member experienced loss of employment income,Yes,"10,674"
NH,Respondent or household member experienced loss of employment income,No,"4,055"
NH,Respondent or household member experienced loss of employment income,Did not report,-
NH,Respondent currently employed,Yes,"6,459"
NH,Respondent currently employed,No,"8,270"
NH,Respondent currently employed,Did not report,-
NH,Household income,"Less than $25,000","6,145"
NH,Household income,"$25,000 - $34,999","2,002"
NH,Household income,"$35,000 - $49,999","2,436"
NH,Household income,"$50,000 - $74,999","4,147"
NH,Household income,"$75,000 - $99,999",-
NH,Household income,"$100,000 - $149,999",-
NH,Household income,"$150,000 - $199,999",-
NH,Household income,"$200,000 and above",-
NH,Household income,Did not report,-
NJ,Total,Total,"264,851"
NJ,Age,18 - 24,-
NJ,Age,25 - 39,"164,198"
NJ,Age,40 - 54,"58,719"
NJ,Age,55 - 64,"31,150"
NJ,Age,65 and above,"10,784"
NJ,Sex,Male,"80,839"
NJ,Sex,Female,"184,013"
NJ,Hispanic origin and Race,Hispanic or Latino (may be of any race),"127,634"
NJ,Hispanic origin and Race,"White alone, not Hispanic","34,595"
NJ,Hispanic origin and Race,"Black alone, not Hispanic","69,492"
NJ,Hispanic origin and Race,"Asian alone, not Hispanic","24,210"
NJ,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","8,920"
NJ,Education,Less than high school,"14,498"
NJ,Education,High school or GED,"126,692"
NJ,Education,Some college/associateês degree,"85,105"
NJ,Education,Bachelorês degree or higher,"38,556"
NJ,Marital status,Married,"120,785"
NJ,Marital status,Widowed,-
NJ,Marital status,Divorced/separated,"53,898"
NJ,Marital status,Never married,"90,168"
NJ,Marital status,Did not report,-
NJ,Presence of children under 18 years old,Children in household,"212,739"
NJ,Presence of children under 18 years old,No children,"52,113"
NJ,Respondent or household member experienced loss of employment income,Yes,"232,292"
NJ,Respondent or household member experienced loss of employment income,No,"32,559"
NJ,Respondent or household member experienced loss of employment income,Did not report,-
NJ,Respondent currently employed,Yes,"47,254"
NJ,Respondent currently employed,No,"217,597"
NJ,Respondent currently employed,Did not report,-
NJ,Household income,"Less than $25,000","97,047"
NJ,Household income,"$25,000 - $34,999","25,740"
NJ,Household income,"$35,000 - $49,999","18,891"
NJ,Household income,"$50,000 - $74,999","67,273"
NJ,Household income,"$75,000 - $99,999","48,692"
NJ,Household income,"$100,000 - $149,999",-
NJ,Household income,"$150,000 - $199,999","2,462"
NJ,Household income,"$200,000 and above",-
NJ,Household income,Did not report,"4,746"
NM,Total,Total,"32,307"
NM,Age,18 - 24,578
NM,Age,25 - 39,"20,828"
NM,Age,40 - 54,"4,833"
NM,Age,55 - 64,-
NM,Age,65 and above,"6,068"
NM,Sex,Male,"5,329"
NM,Sex,Female,"26,978"
NM,Hispanic origin and Race,Hispanic or Latino (may be of any race),"14,069"
NM,Hispanic origin and Race,"White alone, not Hispanic","12,116"
NM,Hispanic origin and Race,"Black alone, not Hispanic","3,256"
NM,Hispanic origin and Race,"Asian alone, not Hispanic",821
NM,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","2,045"
NM,Education,Less than high school,"5,142"
NM,Education,High school or GED,"8,610"
NM,Education,Some college/associateês degree,"11,961"
NM,Education,Bachelorês degree or higher,"6,594"
NM,Marital status,Married,"11,701"
NM,Marital status,Widowed,"3,372"
NM,Marital status,Divorced/separated,"10,404"
NM,Marital status,Never married,"6,830"
NM,Marital status,Did not report,-
